country,chemical and petrochemical,construction,food and tobacco,iron and steel,machinery,mining and quarrying,non-ferrous metals,non-metallic minerals,paper pulp and print,textile and leather,transport equipment,wood and wood products,other
KZ,0.0222545744210394,-0.0265646974089651,-0.0286473818504944,-0.0410091283696828,0.0450899378181158,-0.0468769827926395,-0.07,0.003238919367747,0.0555867319381136,0.0642774495522931,0.07,-0.0158709305815617,-0.0100993322415312
KE,0.000425317755603,0.0118725751519451,-0.0527407168507028,0.0004097696578504,0.0003007746447147,-0.0233969576703033,-8.941455869498904e-05,0.07,0.000377655081126,0.000377655081126,-8.941455869498904e-05,4.69109060442785e-05,0.0115708356112318
KI,-3.3975738326363913e-05,0.0318190543832584,-6.783968802601126e-05,-3.2073902233253904e-05,-6.603077877058439e-05,-4.246967290795489e-05,-8.84769154595455e-05,-7.084375470829685e-05,-4.246967290795489e-05,-4.246967290795489e-05,-8.84769154595455e-05,-4.423845772977275e-05,0.0318190543832584
KP,0.0019506204207834,0.0343892308188316,0.0046065833696301,-0.07,0.0069098750544452,0.0024382755259793,0.0097316006186427,-3.6179488941565086e-05,0.0024382755259793,0.0024382755259793,0.0097316006186427,0.0048658003093213,0.0377184123271201
KR,-0.0152520969362504,0.0030621655650557,0.0300496045266951,-0.0166794375205789,0.0349811596694461,0.0370369845687339,0.0548991213297376,-0.0086048089532868,-0.0133211877226008,-0.0289398509755635,-0.0214751863109261,-0.0177358403873264,0.004580574117368
XK,-0.0245907974177974,-0.0044180677353507,-0.015699335380043,-0.0034375788328347,-0.0081562339356551,0.0449934746385088,-0.0001585399734557,0.024156365554989,-0.0548756600956761,0.0177404266624497,-0.0001585399734557,2.8941858182446323e-05,-0.0022967070012077
KW,0.0296527997458912,0.0334073055901247,-0.0520799086874788,-0.0079168247049691,-0.0004802849195908,0.07,-0.0011637291883904,-0.0108998038872019,-0.007262039695039,-0.007262039695039,-0.0011637291883904,-0.0005818645941952,0.0373305974270525
KG,-0.0216676716794527,-0.008781329983817,0.0381961609660972,-0.0002264378897189,0.0556365883807169,0.000167511833079,-0.07,-0.034447768111696,-0.07,-0.0522361992200258,0.0004888929377079,0.07,-0.0092743649157554
LA,0.0004735774666708,0.0648920187650096,0.0002481991228961,0.0006694721618112,0.0003343861100587,0.0002086438848717,-8.661870067383504e-05,0.0001631765104503,0.0002086438848717,0.0002086438848717,-8.661870067377953e-05,-4.330935033691752e-05,0.0648920187650095
LV,-0.0437312768207483,-0.0032538019011611,-0.0487457674641392,-0.07,-0.0348496637817595,-0.0529072017786801,-0.07,-0.0230432427647584,-0.0405606141758766,-0.0572096656313294,-0.07,-0.0197618194152604,0.0104732099276478
LB,-0.0003158725074598,-0.0303427638939081,-0.000537082053837,-0.0002193701200147,-0.0002414648788352,-0.0003823570156249,-7.030084016090843e-05,-0.07,-0.0003823570156249,-0.0003823570156249,-7.030084016090843e-05,-0.0001835679546355,-0.0300612183286834
LS,0.0053988288381158,0.0080383534681576,-0.07,0.0049918647465437,0.0023662287267326,0.0067485360476448,0.0097334344534414,0.0073723708203564,0.0067485360476448,-0.0158368505377304,0.0097334344534414,0.0048667172267207,0.0081194671296773
LR,-9.512358230382434e-05,-0.07,-0.0039544009212991,-0.0001237102379098,-0.005888681139591,-6.695510747996292e-05,-7.861584441465341e-05,-0.002984278585297,-6.695510747996292e-05,-6.695510747996292e-05,-7.861584441465341e-05,5.208406235926444e-05,-0.07
LY,-6.907115587447831e-05,-0.0619854746552571,0.0023872506025954,0.0018572768813271,-0.0001553880282297,-0.0003703852249125,-0.0025354441613336,0.0058826289100741,-0.0003703852249125,-0.0003703852249125,-0.0025354441613336,-0.0010557088201737,-0.0620085213810942
LI,-0.0058365807582325,-0.00311284801528,-0.0048922323203353,-0.0036588947848922,-0.0072970106388464,-0.0072957259477906,0.0,-0.0036881610998358,-0.0072957259477906,-0.0072957259477906,0.0,-0.0145102519807469,-6.0889289263462866e-05
LT,-0.0143779664557414,-0.0208100387370442,-0.0180366018033244,-0.0268772849035995,0.0597174547940503,0.0616275052361143,0.07,-0.0216697614594717,-0.0218112940150334,0.0017510495471197,0.0285348287459499,0.0209506076276019,-0.0014520033232628
LU,-0.07,-0.0316407806391584,-0.0145867082306323,-0.0103258793242924,0.07,0.0317849116469723,0.0,-0.0666670260195116,-0.0227734708611389,-0.07,-0.07,-0.0418432438309616,-0.0502948332662927
