,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID
7306,Pingchuan District,Hydro,Pumped Storage,PP,CN,187.82134878031522,,,0.0,0.0,0.0,2029.0,2029.0,2129.0,36.7275,104.825,{nan},"{'GEM': {'G604731'}, 'GHPT': {'G604731'}}"
7307,Pingjiang,Hydro,Pumped Storage,PP,CN,222.83888838342483,,,0.0,0.0,0.0,2025.0,2025.0,2125.0,28.5169,113.703,{nan},"{'GEM': {'G601080'}, 'GHPT': {'G601080'}}"
7308,Pingtanyuan,Hydro,Pumped Storage,PP,CN,222.83888838342483,,,0.0,0.0,0.0,2027.0,2027.0,2127.0,31.1385,115.6778,{nan},"{'GEM': {'G601082'}, 'GHPT': {'G601082'}}"
7309,Pingtou,Hydro,Reservoir,PP,CN,204.36141040167885,,,0.0,0.0,0.0,2011.0,2011.0,2111.0,28.0583,103.3044,{nan},"{'GEM': {'G601083'}, 'GHPT': {'G601083'}}"
7310,Pubugou,Hydro,Reservoir,PP,CN,4087.2282080335767,,,0.0,0.0,0.0,2010.0,2010.0,2110.0,29.2061,102.8476,{nan},"{'GEM': {'G601085'}, 'GHPT': {'G601085'}}"
7311,Puding,Hydro,Reservoir,PP,CN,85.15058766736618,,,0.0,0.0,0.0,1995.0,1995.0,2095.0,27.0,107.0,{nan},"{'GEM': {'G601086'}, 'GHPT': {'G601086'}}"
7312,Nuozu,Hydro,Reservoir,PP,CN,85.15058766736618,,,0.0,0.0,0.0,2009.0,2009.0,2109.0,24.4673,103.1009,{nan},"{'GEM': {'G601065'}, 'GHPT': {'G601065'}}"
7313,Nuozhadu,Hydro,Reservoir,PP,CN,6641.745838054562,,,0.0,0.0,0.0,2014.0,2014.0,2114.0,22.6375,100.4401,{nan},"{'GEM': {'G601064'}, 'GHPT': {'G601064'}}"
7314,Nongling,Hydro,Reservoir,PP,CN,204.36141040167885,,,0.0,0.0,0.0,2008.0,2008.0,2108.0,24.5876,98.3392,{nan},"{'GEM': {'G601063'}, 'GHPT': {'G601063'}}"
7315,Niangyong,Hydro,Reservoir,PP,CN,105.58672870753406,,,0.0,0.0,0.0,2015.0,2015.0,2115.0,29.1208,99.9068,{nan},"{'GEM': {'G604668'}, 'GHPT': {'G604668'}}"
7316,Nalan,Hydro,Reservoir,PP,CN,170.30117533473236,,,0.0,0.0,0.0,2005.0,2005.0,2105.0,22.7148,103.0211,{nan},"{'GEM': {'G601045'}, 'GHPT': {'G601045'}}"
7317,Nanning,Hydro,Pumped Storage,PP,CN,191.00476147150698,,,0.0,0.0,0.0,2025.0,2025.0,2125.0,23.1105,108.4398,{nan},"{'GEM': {'G601046'}, 'GHPT': {'G601046'}}"
7318,Nansha,Hydro,Reservoir,PP,CN,170.30117533473236,,,0.0,0.0,0.0,2007.0,2007.0,2107.0,23.2294,102.8558,{nan},"{'GEM': {'G601047'}, 'GHPT': {'G601047'}}"
7319,Nanshankou,Hydro,Pumped Storage,PP,CN,382.00952294301396,,,0.0,0.0,0.0,2030.0,2030.0,2130.0,36.4292,94.825,{nan},"{'GEM': {'G601048'}, 'GHPT': {'G601048'}}"
7320,Nanshui,Hydro,Reservoir,PP,CN,85.15058766736618,,,0.0,0.0,0.0,1970.0,1970.0,2070.0,24.7827,113.281,{nan},"{'GEM': {'G601049'}, 'GHPT': {'G601049'}}"
7321,Nanyahe,Hydro,Run-Of-River,PP,CN,136.2409402677859,,,0.0,0.0,0.0,1983.0,1983.0,2083.0,29.1828,102.3923,{nan},"{'GEM': {'G601050'}, 'GHPT': {'G601050'}}"
7322,Nazixia,Hydro,Reservoir,PP,CN,98.77468169414477,,,0.0,0.0,0.0,2014.0,2014.0,2114.0,37.5974,103.1533,{nan},"{'GEM': {'G601051'}, 'GHPT': {'G601051'}}"
7323,Nierji,Hydro,Reservoir,PP,CN,283.83529222455394,,,0.0,0.0,0.0,2006.0,2006.0,2106.0,48.4928,124.5296,{nan},"{'GEM': {'G601052'}, 'GHPT': {'G601052'}}"
7324,Nizhuhe,Hydro,Reservoir,PP,CN,115.804799227618,,,0.0,0.0,0.0,2012.0,2012.0,2112.0,26.4331,104.6623,{nan},"{'GEM': {'G601062'}, 'GHPT': {'G601062'}}"
7325,Nileke,Hydro,Run-Of-River,PP,CN,249.77505715760748,,,0.0,0.0,0.0,2013.0,2013.0,2113.0,43.8311,82.4242,{nan},"{'GEM': {'G601053'}, 'GHPT': {'G601053'}}"
7326,Nina,Hydro,Reservoir,PP,CN,181.65458702371453,,,0.0,0.0,0.0,2003.0,2003.0,2103.0,36.0627,101.2674,{nan},"{'GEM': {'G601054'}, 'GHPT': {'G601054'}}"
7327,Ninghai,Hydro,Pumped Storage,PP,CN,222.83888838342483,,,0.0,0.0,0.0,2024.0,2024.0,2124.0,29.0,120.0,{nan},"{'GEM': {'G601056'}, 'GHPT': {'G601056'}}"
7328,Ninglang,Hydro,Run-Of-River,PP,CN,129.4288932543966,,,0.0,0.0,0.0,2012.0,2012.0,2112.0,28.278,100.6504,{nan},"{'GEM': {'G601057'}, 'GHPT': {'G601057'}}"
7329,Niululing,Hydro,Reservoir,PP,CN,90.82729351185726,,,0.0,0.0,0.0,1982.0,1982.0,2082.0,19.0502,110.3064,{nan},"{'GEM': {'G601059'}, 'GHPT': {'G601059'}}"
7330,Niushoushan,Hydro,Pumped Storage,PP,CN,159.17063455958916,,,0.0,0.0,0.0,2028.0,2028.0,2128.0,37.8924,106.078,{nan},"{'GEM': {'G604670'}, 'GHPT': {'G604670'}}"
7331,Niutoushan,Hydro,Run-Of-River,PP,CN,113.53411688982158,,,0.0,0.0,0.0,2006.0,2006.0,2106.0,27.3447,119.4914,{nan},"{'GEM': {'G601061'}, 'GHPT': {'G601061'}}"
7332,Pushihe,Hydro,Pumped Storage,PP,CN,191.00476147150698,,,0.0,0.0,0.0,2011.0,2011.0,2111.0,40.4233,124.6731,{nan},"{'GEM': {'G601087'}, 'GHPT': {'G601087'}}"
7333,Puxiqiao,Hydro,Reservoir,PP,CN,215.714822090661,,,0.0,0.0,0.0,2014.0,2014.0,2114.0,23.1433,101.6105,{nan},"{'GEM': {'G601089'}, 'GHPT': {'G601089'}}"
7334,Qiafuqihai,Hydro,Reservoir,PP,CN,363.30917404742905,,,0.0,0.0,0.0,2005.0,2005.0,2105.0,43.3062,82.4863,{nan},"{'GEM': {'G601090'}, 'GHPT': {'G601090'}}"
7335,Sandaowan,Hydro,Run-Of-River,PP,CN,127.15821091660017,,,0.0,0.0,0.0,2012.0,2012.0,2112.0,38.5006,99.9833,{nan},"{'GEM': {'G601124'}, 'GHPT': {'G601124'}}"
7336,Renzhonghai,Hydro,Reservoir,PP,CN,272.4818805355718,,,0.0,0.0,0.0,2011.0,2011.0,2111.0,29.2344,101.5819,{nan},"{'GEM': {'G601116'}, 'GHPT': {'G601116'}}"
7337,Rongge,Hydro,Reservoir,PP,CN,102.18070520083943,,,0.0,0.0,0.0,2016.0,2016.0,2116.0,25.4401,106.7201,{nan},"{'GEM': {'G601117'}, 'GHPT': {'G601117'}}"
